age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
43.0,b'Private',128354.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Adm-clerical',b'Wife',b'White',b'Female',0.0,0.0,30.0,b'United-States',b'<=50K'
37.0,b'Private',60548.0,b'HS-grad',9.0,b'Widowed',b'Machine-op-inspct',b'Unmarried',b'White',b'Female',0.0,0.0,20.0,b'United-States',b'<=50K'
40.0,b'Private',85019.0,b'Doctorate',16.0,b'Married-civ-spouse',b'Prof-specialty',b'Husband',b'Asian-Pac-Islander',b'Male',0.0,0.0,45.0,b'?',b'>50K'
34.0,b'Private',107914.0,b'Bachelors',13.0,b'Married-civ-spouse',b'Tech-support',b'Husband',b'White',b'Male',0.0,0.0,47.0,b'United-States',b'>50K'
34.0,b'Private',238588.0,b'Some-college',10.0,b'Never-married',b'Other-service',b'Own-child',b'Black',b'Female',0.0,0.0,35.0,b'United-States',b'<=50K'
72.0,b'?',132015.0,b'7th-8th',4.0,b'Divorced',b'?',b'Not-in-family',b'White',b'Female',0.0,0.0,6.0,b'United-States',b'<=50K'
25.0,b'Private',220931.0,b'Bachelors',13.0,b'Never-married',b'Prof-specialty',b'Not-in-family',b'White',b'Male',0.0,0.0,43.0,b'Peru',b'<=50K'
25.0,b'Private',205947.0,b'Bachelors',13.0,b'Married-civ-spouse',b'Prof-specialty',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
45.0,b'Self-emp-not-inc',432824.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',7298.0,0.0,90.0,b'United-States',b'>50K'
22.0,b'Private',236427.0,b'HS-grad',9.0,b'Never-married',b'Adm-clerical',b'Own-child',b'White',b'Male',0.0,0.0,20.0,b'United-States',b'<=50K'
23.0,b'Private',134446.0,b'HS-grad',9.0,b'Separated',b'Machine-op-inspct',b'Unmarried',b'Black',b'Male',0.0,0.0,54.0,b'United-States',b'<=50K'
54.0,b'Private',99516.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',0.0,0.0,35.0,b'United-States',b'<=50K'
32.0,b'Self-emp-not-inc',109282.0,b'Some-college',10.0,b'Never-married',b'Prof-specialty',b'Not-in-family',b'White',b'Male',0.0,0.0,60.0,b'United-States',b'<=50K'
46.0,b'State-gov',106444.0,b'Some-college',10.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'Black',b'Male',7688.0,0.0,38.0,b'United-States',b'>50K'
56.0,b'Self-emp-not-inc',186651.0,b'11th',7.0,b'Widowed',b'Other-service',b'Unmarried',b'White',b'Female',0.0,0.0,50.0,b'United-States',b'<=50K'
24.0,b'Self-emp-not-inc',188274.0,b'Bachelors',13.0,b'Never-married',b'Sales',b'Not-in-family',b'White',b'Male',0.0,0.0,50.0,b'United-States',b'<=50K'
23.0,b'Local-gov',258120.0,b'Some-college',10.0,b'Married-civ-spouse',b'Protective-serv',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
26.0,b'Private',43311.0,b'HS-grad',9.0,b'Divorced',b'Exec-managerial',b'Unmarried',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
65.0,b'?',191846.0,b'HS-grad',9.0,b'Married-civ-spouse',b'?',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
36.0,b'Local-gov',403681.0,b'Bachelors',13.0,b'Married-civ-spouse',b'Prof-specialty',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'>50K'
22.0,b'Private',248446.0,b'5th-6th',3.0,b'Never-married',b'Priv-house-serv',b'Not-in-family',b'White',b'Male',0.0,0.0,50.0,b'Guatemala',b'<=50K'
17.0,b'Private',269430.0,b'10th',6.0,b'Never-married',b'Machine-op-inspct',b'Not-in-family',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
20.0,b'Private',257509.0,b'HS-grad',9.0,b'Never-married',b'Craft-repair',b'Own-child',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
65.0,b'Private',136384.0,b'Masters',14.0,b'Married-civ-spouse',b'Prof-specialty',b'Husband',b'White',b'Male',0.0,0.0,50.0,b'United-States',b'>50K'
44.0,b'Self-emp-inc',120277.0,b'Assoc-voc',11.0,b'Married-civ-spouse',b'Sales',b'Husband',b'White',b'Male',0.0,0.0,45.0,b'United-States',b'>50K'
36.0,b'Private',465326.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Farming-fishing',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
29.0,b'Private',103634.0,b'11th',7.0,b'Married-civ-spouse',b'Other-service',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
20.0,b'State-gov',138371.0,b'Some-college',10.0,b'Never-married',b'Farming-fishing',b'Own-child',b'White',b'Male',0.0,0.0,32.0,b'United-States',b'<=50K'
28.0,b'Private',242832.0,b'Assoc-voc',11.0,b'Married-civ-spouse',b'Prof-specialty',b'Wife',b'White',b'Female',0.0,0.0,36.0,b'United-States',b'>50K'
39.0,b'Private',290208.0,b'7th-8th',4.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'Mexico',b'<=50K'
54.0,b'Private',186272.0,b'Some-college',10.0,b'Married-civ-spouse',b'Transport-moving',b'Husband',b'White',b'Male',3908.0,0.0,50.0,b'United-States',b'<=50K'
52.0,b'Private',201062.0,b'11th',7.0,b'Separated',b'Priv-house-serv',b'Not-in-family',b'Black',b'Female',0.0,0.0,18.0,b'United-States',b'<=50K'
56.0,b'Self-emp-inc',131916.0,b'HS-grad',9.0,b'Widowed',b'Exec-managerial',b'Not-in-family',b'White',b'Female',0.0,0.0,50.0,b'United-States',b'<=50K'
18.0,b'Private',54440.0,b'Some-college',10.0,b'Never-married',b'Other-service',b'Own-child',b'White',b'Male',0.0,0.0,20.0,b'United-States',b'<=50K'
39.0,b'Private',280215.0,b'HS-grad',9.0,b'Divorced',b'Handlers-cleaners',b'Own-child',b'Black',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
21.0,b'Private',214399.0,b'Some-college',10.0,b'Never-married',b'Other-service',b'Own-child',b'White',b'Female',0.0,1721.0,24.0,b'United-States',b'<=50K'
22.0,b'Private',54164.0,b'HS-grad',9.0,b'Never-married',b'Other-service',b'Not-in-family',b'White',b'Male',14084.0,0.0,60.0,b'United-States',b'>50K'
38.0,b'Private',219446.0,b'9th',5.0,b'Married-spouse-absent',b'Exec-managerial',b'Not-in-family',b'White',b'Male',0.0,0.0,54.0,b'Mexico',b'<=50K'
21.0,b'Private',110677.0,b'Some-college',10.0,b'Never-married',b'Adm-clerical',b'Own-child',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
63.0,b'Private',145985.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
34.0,b'Local-gov',382078.0,b'Bachelors',13.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'White',b'Male',3103.0,0.0,50.0,b'United-States',b'>50K'
42.0,b'Self-emp-inc',170721.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'White',b'Male',5178.0,0.0,50.0,b'United-States',b'>50K'
33.0,b'Private',269705.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Handlers-cleaners',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
30.0,b'Private',101135.0,b'Bachelors',13.0,b'Never-married',b'Exec-managerial',b'Not-in-family',b'White',b'Female',0.0,0.0,50.0,b'United-States',b'<=50K'
39.0,b'Private',118429.0,b'Some-college',10.0,b'Divorced',b'Sales',b'Not-in-family',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
26.0,b'Private',31208.0,b'Masters',14.0,b'Never-married',b'Exec-managerial',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
33.0,b'Private',281384.0,b'HS-grad',9.0,b'Never-married',b'Machine-op-inspct',b'Own-child',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
47.0,b'Local-gov',171807.0,b'HS-grad',9.0,b'Divorced',b'Adm-clerical',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
41.0,b'Private',109912.0,b'Bachelors',13.0,b'Never-married',b'Other-service',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'?',b'<=50K'
41.0,b'Self-emp-inc',445382.0,b'Assoc-acdm',12.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',15024.0,0.0,60.0,b'United-States',b'>50K'
19.0,b'Private',105460.0,b'Some-college',10.0,b'Never-married',b'Other-service',b'Own-child',b'White',b'Male',0.0,0.0,20.0,b'United-States',b'<=50K'
46.0,b'Private',170338.0,b'HS-grad',9.0,b'Separated',b'Transport-moving',b'Not-in-family',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
43.0,b'Private',102606.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Sales',b'Husband',b'White',b'Male',0.0,0.0,48.0,b'United-States',b'<=50K'
55.0,b'Private',323887.0,b'Some-college',10.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'White',b'Male',15024.0,0.0,45.0,b'United-States',b'>50K'
46.0,b'Private',175622.0,b'Assoc-voc',11.0,b'Married-civ-spouse',b'Tech-support',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
30.0,b'Private',229636.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'Mexico',b'<=50K'
21.0,b'Private',388946.0,b'Some-college',10.0,b'Separated',b'Handlers-cleaners',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
46.0,b'Private',269034.0,b'Some-college',10.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'Other',b'Male',0.0,0.0,40.0,b'Dominican-Republic',b'<=50K'
17.0,b'?',165361.0,b'10th',6.0,b'Never-married',b'?',b'Own-child',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
41.0,b'Private',75012.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'White',b'Male',0.0,0.0,50.0,b'United-States',b'<=50K'
69.0,b'Self-emp-inc',174379.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Sales',b'Husband',b'White',b'Male',0.0,0.0,30.0,b'United-States',b'<=50K'
50.0,b'Private',312477.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Transport-moving',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
20.0,b'Private',72055.0,b'Some-college',10.0,b'Never-married',b'Adm-clerical',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
45.0,b'Self-emp-inc',67001.0,b'Some-college',10.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'White',b'Male',0.0,0.0,50.0,b'United-States',b'<=50K'
23.0,b'Private',213734.0,b'Bachelors',13.0,b'Never-married',b'Exec-managerial',b'Not-in-family',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
24.0,b'Private',83141.0,b'Some-college',10.0,b'Separated',b'Other-service',b'Not-in-family',b'White',b'Male',0.0,1876.0,40.0,b'United-States',b'<=50K'
44.0,b'Self-emp-inc',223881.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',99999.0,0.0,50.0,b'?',b'>50K'
31.0,b'Self-emp-not-inc',113752.0,b'Some-college',10.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',0.0,0.0,50.0,b'United-States',b'<=50K'
43.0,b'Private',170482.0,b'HS-grad',9.0,b'Separated',b'Machine-op-inspct',b'Not-in-family',b'White',b'Female',0.0,0.0,44.0,b'United-States',b'<=50K'
20.0,b'Federal-gov',244689.0,b'11th',7.0,b'Never-married',b'Other-service',b'Own-child',b'White',b'Female',0.0,0.0,10.0,b'United-States',b'<=50K'
55.0,b'Private',160631.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Sales',b'Husband',b'White',b'Male',0.0,0.0,56.0,b'United-States',b'>50K'
24.0,b'Federal-gov',228724.0,b'Some-college',10.0,b'Never-married',b'Armed-Forces',b'Not-in-family',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
41.0,b'?',38434.0,b'Masters',14.0,b'Married-civ-spouse',b'?',b'Wife',b'White',b'Female',7688.0,0.0,10.0,b'United-States',b'>50K'
59.0,b'Private',292946.0,b'Bachelors',13.0,b'Never-married',b'Exec-managerial',b'Not-in-family',b'White',b'Female',0.0,0.0,25.0,b'United-States',b'<=50K'
49.0,b'Federal-gov',77443.0,b'7th-8th',4.0,b'Never-married',b'Other-service',b'Not-in-family',b'Black',b'Male',0.0,0.0,20.0,b'United-States',b'<=50K'
33.0,b'Private',176410.0,b'Masters',14.0,b'Married-civ-spouse',b'Prof-specialty',b'Wife',b'White',b'Female',5178.0,0.0,10.0,b'United-States',b'>50K'
59.0,b'Federal-gov',98984.0,b'Bachelors',13.0,b'Divorced',b'Adm-clerical',b'Not-in-family',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
34.0,b'Private',198751.0,b'Masters',14.0,b'Never-married',b'Other-service',b'Not-in-family',b'Amer-Indian-Eskimo',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
20.0,b'Private',479296.0,b'HS-grad',9.0,b'Never-married',b'Handlers-cleaners',b'Own-child',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
25.0,b'Private',235218.0,b'Bachelors',13.0,b'Never-married',b'Exec-managerial',b'Own-child',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
49.0,b'Private',164877.0,b'10th',6.0,b'Married-civ-spouse',b'Farming-fishing',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
59.0,b'Private',272087.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Transport-moving',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'>50K'
20.0,b'Private',169699.0,b'HS-grad',9.0,b'Never-married',b'Adm-clerical',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
51.0,b'?',189762.0,b'Some-college',10.0,b'Married-civ-spouse',b'?',b'Wife',b'White',b'Female',0.0,0.0,18.0,b'United-States',b'<=50K'
33.0,b'Private',202191.0,b'Some-college',10.0,b'Never-married',b'Adm-clerical',b'Unmarried',b'Black',b'Female',0.0,0.0,35.0,b'United-States',b'<=50K'
22.0,b'Private',212261.0,b'Some-college',10.0,b'Never-married',b'Transport-moving',b'Own-child',b'Black',b'Male',0.0,0.0,39.0,b'United-States',b'<=50K'
58.0,b'Self-emp-not-inc',301568.0,b'9th',5.0,b'Widowed',b'Other-service',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
52.0,b'Local-gov',155233.0,b'HS-grad',9.0,b'Widowed',b'Adm-clerical',b'Unmarried',b'White',b'Female',0.0,0.0,28.0,b'United-States',b'<=50K'
36.0,b'Private',75826.0,b'10th',6.0,b'Separated',b'Machine-op-inspct',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
41.0,b'Local-gov',201520.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Protective-serv',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
28.0,b'Private',154236.0,b'HS-grad',9.0,b'Never-married',b'Transport-moving',b'Own-child',b'White',b'Male',2597.0,0.0,40.0,b'United-States',b'<=50K'
19.0,b'Private',289227.0,b'Some-college',10.0,b'Never-married',b'Handlers-cleaners',b'Own-child',b'Black',b'Male',0.0,0.0,16.0,b'United-States',b'<=50K'
18.0,b'Private',217439.0,b'HS-grad',9.0,b'Never-married',b'Other-service',b'Not-in-family',b'White',b'Female',0.0,0.0,28.0,b'United-States',b'<=50K'
18.0,b'Private',179020.0,b'HS-grad',9.0,b'Never-married',b'Machine-op-inspct',b'Own-child',b'White',b'Female',0.0,0.0,48.0,b'United-States',b'<=50K'
28.0,b'Private',149624.0,b'Some-college',10.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
29.0,b'Private',337266.0,b'Assoc-voc',11.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'>50K'
20.0,b'?',30796.0,b'HS-grad',9.0,b'Never-married',b'?',b'Own-child',b'White',b'Female',0.0,0.0,20.0,b'United-States',b'<=50K'
40.0,b'Private',103541.0,b'Some-college',10.0,b'Married-civ-spouse',b'Handlers-cleaners',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
26.0,b'Private',206721.0,b'HS-grad',9.0,b'Never-married',b'Handlers-cleaners',b'Unmarried',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
46.0,b'Private',96773.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
23.0,b'Private',200967.0,b'11th',7.0,b'Never-married',b'Other-service',b'Not-in-family',b'White',b'Female',0.0,0.0,24.0,b'United-States',b'<=50K'
44.0,b'Private',180019.0,b'HS-grad',9.0,b'Married-spouse-absent',b'Adm-clerical',b'Unmarried',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
43.0,b'Private',179866.0,b'Bachelors',13.0,b'Divorced',b'Sales',b'Unmarried',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'>50K'
31.0,b'Local-gov',198770.0,b'Bachelors',13.0,b'Divorced',b'Prof-specialty',b'Unmarried',b'White',b'Female',0.0,0.0,60.0,b'United-States',b'<=50K'
18.0,b'Private',219256.0,b'Some-college',10.0,b'Never-married',b'Sales',b'Own-child',b'White',b'Female',0.0,0.0,25.0,b'United-States',b'<=50K'
19.0,b'Private',248730.0,b'Some-college',10.0,b'Never-married',b'Protective-serv',b'Own-child',b'White',b'Male',0.0,0.0,30.0,b'United-States',b'<=50K'
41.0,b'Private',110732.0,b'Some-college',10.0,b'Divorced',b'Tech-support',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
41.0,b'Private',181020.0,b'HS-grad',9.0,b'Divorced',b'Handlers-cleaners',b'Unmarried',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
69.0,b'Private',183791.0,b'HS-grad',9.0,b'Divorced',b'Adm-clerical',b'Not-in-family',b'White',b'Female',0.0,0.0,25.0,b'United-States',b'<=50K'
48.0,b'Federal-gov',42972.0,b'Doctorate',16.0,b'Married-civ-spouse',b'Prof-specialty',b'Wife',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'>50K'
28.0,b'Private',134813.0,b'HS-grad',9.0,b'Never-married',b'Prof-specialty',b'Own-child',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
27.0,b'Self-emp-not-inc',115438.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',0.0,0.0,60.0,b'Ireland',b'>50K'
41.0,b'Private',239296.0,b'Masters',14.0,b'Married-civ-spouse',b'Prof-specialty',b'Husband',b'White',b'Male',0.0,2415.0,50.0,b'United-States',b'>50K'
41.0,b'Private',428420.0,b'Some-college',10.0,b'Married-civ-spouse',b'Adm-clerical',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
24.0,b'Private',247846.0,b'HS-grad',9.0,b'Never-married',b'Craft-repair',b'Unmarried',b'Black',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
20.0,b'?',334105.0,b'HS-grad',9.0,b'Never-married',b'?',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
42.0,b'Self-emp-inc',100793.0,b'Doctorate',16.0,b'Married-civ-spouse',b'Prof-specialty',b'Husband',b'White',b'Male',0.0,0.0,41.0,b'United-States',b'>50K'
57.0,b'Private',244478.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'Black',b'Male',0.0,0.0,48.0,b'United-States',b'<=50K'
30.0,b'Private',142921.0,b'Assoc-acdm',12.0,b'Never-married',b'Prof-specialty',b'Not-in-family',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
36.0,b'Private',182863.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Sales',b'Husband',b'White',b'Male',0.0,0.0,60.0,b'United-States',b'>50K'
49.0,b'Private',171128.0,b'7th-8th',4.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Black',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
33.0,b'Private',145402.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Wife',b'White',b'Female',0.0,0.0,35.0,b'United-States',b'<=50K'
23.0,b'Private',306309.0,b'10th',6.0,b'Married-civ-spouse',b'Farming-fishing',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
46.0,b'Private',83822.0,b'Masters',14.0,b'Married-civ-spouse',b'Prof-specialty',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
18.0,b'Private',262118.0,b'Some-college',10.0,b'Never-married',b'Adm-clerical',b'Own-child',b'Asian-Pac-Islander',b'Female',0.0,0.0,22.0,b'Germany',b'<=50K'
40.0,b'Private',155972.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'White',b'Male',7688.0,0.0,55.0,b'United-States',b'>50K'
43.0,b'Self-emp-inc',214503.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'White',b'Male',0.0,1887.0,45.0,b'United-States',b'>50K'
34.0,b'Private',159303.0,b'Masters',14.0,b'Never-married',b'Prof-specialty',b'Own-child',b'White',b'Female',0.0,0.0,30.0,b'United-States',b'<=50K'
47.0,b'Self-emp-not-inc',174995.0,b'HS-grad',9.0,b'Widowed',b'Exec-managerial',b'Not-in-family',b'White',b'Female',0.0,0.0,30.0,b'United-States',b'<=50K'
44.0,b'Private',26669.0,b'Assoc-voc',11.0,b'Widowed',b'Exec-managerial',b'Unmarried',b'White',b'Female',0.0,0.0,30.0,b'United-States',b'<=50K'
33.0,b'Private',177727.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Sales',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'>50K'
55.0,b'Private',124771.0,b'Bachelors',13.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'White',b'Male',15024.0,0.0,50.0,b'United-States',b'>50K'
19.0,b'Private',456736.0,b'HS-grad',9.0,b'Never-married',b'Sales',b'Not-in-family',b'White',b'Male',2907.0,0.0,30.0,b'United-States',b'<=50K'
28.0,b'Private',216604.0,b'Some-college',10.0,b'Never-married',b'Other-service',b'Not-in-family',b'Black',b'Male',0.0,0.0,14.0,b'United-States',b'<=50K'
27.0,b'Private',221561.0,b'11th',7.0,b'Married-civ-spouse',b'Other-service',b'Wife',b'Black',b'Female',0.0,0.0,32.0,b'United-States',b'<=50K'
50.0,b'Private',114564.0,b'7th-8th',4.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'White',b'Male',0.0,0.0,20.0,b'United-States',b'<=50K'
22.0,b'Private',315476.0,b'11th',7.0,b'Never-married',b'Craft-repair',b'Unmarried',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
40.0,b'State-gov',67874.0,b'Bachelors',13.0,b'Married-civ-spouse',b'Adm-clerical',b'Husband',b'White',b'Male',0.0,1887.0,45.0,b'United-States',b'>50K'
25.0,b'Private',126110.0,b'Some-college',10.0,b'Never-married',b'Adm-clerical',b'Own-child',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
26.0,b'Local-gov',102264.0,b'HS-grad',9.0,b'Never-married',b'Craft-repair',b'Not-in-family',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
22.0,b'Private',537222.0,b'Bachelors',13.0,b'Never-married',b'Sales',b'Not-in-family',b'White',b'Male',0.0,0.0,25.0,b'United-States',b'<=50K'
